,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Members,order,family,genus
129,VC_190_0,5,3000.0,135.8824406362619,0.9566685157340619,4.207230668821e-06,2.8284271247461903,4.69041575982343,10,10,1.0,3.9703593350485193,"Listeria~phage~LP-026,Listeria~phage~LP-037,Listeria~phage~LP-110,Listeria~phage~LP-114,Listeria~phage~P70",['Caudovirales'],['Siphoviridae'],['P70virus']
130,VC_191_0,4,885.5987594425377,0,1.0,1,2.8284271247461903,3.872983346207417,6,6,1.0,3.4934452496863613,"Clostridium~phage~phiCP13O,Clostridium~phage~phiCP26F,Clostridium~phage~phiCP34O,Clostridium~phage~phiCP39-O",['Unassigned'],['Unassigned'],['Unassigned']
131,VC_192_0,3,615.3464753857245,134.22180118956268,0.820934522732458,0.006110068465330749,3.1622776601683795,5.385164807134504,3,3,1.0,4.515814155767628,"Gordonia~phage~GRU1,Gordonia~phage~GTE5,Gordonia~phage~GTE8",['Unassigned'],['Unassigned'],['Unassigned']
132,VC_193_0,2,9.48752007339228,101.03520074727886,0.08584225942814307,0.17026966514937414,6.855654600401044,6.855654600401044,1,1,1.0,6.855654600401044,"Corynebacterium~phage~BFK20,Nocardia~phage~NBR1",['Unassigned'],['Unassigned'],['Unassigned']
133,VC_194_0,3,512.8969652720386,64.6968259487781,0.8879890557479276,0.013719457190021603,0.0,6.782329983125268,3,3,1.0,4.521553322083512,"Gordonia~phage~Gsput1,Gordonia~phage~Splinter,Gordonia~phage~Vendetta","['Unassigned', 'Caudovirales']","['Unassigned', 'Siphoviridae']","['Unassigned', 'Vendettavirus']"
134,VC_195_0,5,2372.4696942062556,1280.934511136845,0.6493860413081369,5.771095728370397e-07,2.0,5.385164807134504,10,10,1.0,3.8708369675677807,"Mycobacterium~phage~Gumball,Mycobacterium~phage~Hawkeye,Mycobacterium~phage~PBI1,Mycobacterium~phage~PLot,Mycobacterium~phage~Troll4","['Unassigned', 'Caudovirales']","['Unassigned', 'Siphoviridae']","['Unassigned', 'Hawkeyevirus', 'Pbi1virus', 'Plotvirus']"
135,VC_196_0,6,2387.146515321182,1138.21301979101,0.6771356202241122,8.736095975422433e-09,2.0,8.366600265340756,15,15,1.0,6.116435461889062,"Mycobacterium~phage~Barnyard,Mycobacterium~phage~Damien,Mycobacterium~phage~Konstantine,Mycobacterium~phage~Oaker,Mycobacterium~phage~Patience,Mycobacterium~phage~Predator","['Caudovirales', 'Unassigned']","['Siphoviridae', 'Unassigned']","['Barnyardvirus', 'Unassigned', 'Patiencevirus']"
136,VC_198_0,2,300.0,846.2479141993247,0.26172348606588786,0.09850923365949778,7.54983443527075,7.54983443527075,1,1,1.0,7.54983443527075,"Vibrio~phage~eugene~12A10,Vibrio~phage~helene~12B3",['Unassigned'],['Unassigned'],['Unassigned']
137,VC_198_1,1,0,658.8875454497512,0.0,1,0,0,1,1,1,0,Vibrio~phage~PWH3a-P1,['Unassigned'],['Unassigned'],['Unassigned']
138,VC_198_2,1,0,595.4221904965925,0.0,1,0,0,1,1,1,0,Vibrio~phage~qdvp001,['Unassigned'],['Unassigned'],['Unassigned']
139,VC_198_3,1,0,605.6956547440317,0.0,1,0,0,1,1,1,0,Vibrio~phage~11895-B1,['Unassigned'],['Unassigned'],['Unassigned']
140,VC_198_4,1,0,593.1742209206295,0.0,1,0,0,1,1,1,0,Vibrio~phage~ICP1,['Unassigned'],['Unassigned'],['Unassigned']
141,VC_199_0,2,300.0,1978.4349335944705,0.13166932949308255,0.10116755531697041,3.4641016151377544,3.4641016151377544,1,1,1.0,3.4641016151377544,"Ralstonia~phage~RSF1,Ralstonia~phage~RSL2",['Caudovirales'],['Myoviridae'],['Rsl2virus']
142,VC_199_1,3,249.2743890818701,3321.781495979156,0.06980411315450759,0.05410310654656731,8.246211251235321,9.273618495495704,3,2,0.6666666666666666,8.745875877937458,"Erwinia~phage~Ea35-70,Erwinia~phage~PhiEaH1,Halocynthia~phage~JM-2012","['Caudovirales', 'Unassigned']","['Myoviridae', 'Unassigned']","['Agrican357virus', 'Unassigned']"
143,VC_19_0,9,1962.8066886226743,190.45661600185147,0.9115497786114632,4.536262606578477e-06,1.0,6.0,36,36,1.0,4.370833503818102,"Acidianus~spindle-shaped~virus~1,Sulfolobus~spindle-shaped~virus~1,Sulfolobus~spindle-shaped~virus~2,Sulfolobus~spindle-shaped~virus~4,Sulfolobus~spindle-shaped~virus~5,Sulfolobus~spindle-shaped~virus~6,Sulfolobus~spindle-shaped~virus~7,Sulfolobus~virus~Kamchatka~1,Sulfolobus~virus~Ragged~Hills",['Unassigned'],['Fuselloviridae'],"['Betafusellovirus', 'Alphafusellovirus']"
144,VC_1_0,10,3835.661379308365,1374.2844091682487,0.7362190577476068,2.032818750059271e-25,2.6457513110645907,7.416198487095663,45,45,1.0,5.291152392186003,"Achromobacter~phage~phiAxp-1,Acinetobacter~phage~IME_AB3,Burkholderia~phage~KL1,Paracoccus~phage~vB_PmaS_IMEP1,Pseudomonas~phage~73,Pseudomonas~phage~PaMx42,Pseudomonas~phage~vB_Pae-Kakheti25,Pseudomonas~phage~vB_PaeS_SCH_Ab26,Rhodobacter~phage~RcTitan,Stenotrophomonas~phage~vB_SmaS-DLP_2","['Unassigned', 'Caudovirales']","['Unassigned', 'Siphoviridae']","['Unassigned', 'Septima3virus', 'Titanvirus']"
145,VC_200_0,3,900.0,7620.575815914774,0.10562666414152147,0.009567041550000899,3.3166247903554,3.605551275463989,3,3,1.0,3.4620925603190478,"Cronobacter~phage~CR5,Erwinia~phage~vB_EamM_EarlPhillipIV,Erwinia~phage~vB_EamM_Phobos",['Unassigned'],['Unassigned'],['Unassigned']
146,VC_200_1,3,900.0,7678.429780593628,0.10491430518391677,0.039524545377930806,4.795831523312719,7.483314773547883,3,3,1.0,6.32911674311999,"Erwinia~phage~phiEaH2,Erwinia~phage~vB_EamM_Asesino,Salmonella~phage~SPN3US",['Caudovirales'],['Myoviridae'],"['Eah2virus', 'Ntreusvirus']"
147,VC_200_2,4,1800.0,9053.13390748623,0.1658507132910618,0.001504522404476614,4.795831523312719,9.38083151964686,6,4,0.6666666666666666,7.4946415013519365,"Erwinia~phage~vB_EamM_Caitlin,Erwinia~phage~vB_EamM_ChrisDB,Erwinia~phage~vB_EamM_Huxley,Erwinia~phage~vB_EamM_Kwan",['Unassigned'],['Unassigned'],['Unassigned']
148,VC_205_0,2,159.69580673133095,813.4077192154302,0.16410978120334954,0.0947948810910844,6.6332495807108,6.6332495807108,1,1,1.0,6.6332495807108,"Cronobacter~phage~vB_CsaP_GAP52,Salmonella~phage~7-11",['Unassigned'],['Unassigned'],['Unassigned']
